#,Date-Time (French Polynesia Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
1,12/06/2022 14:10:00,27.93,2168.32,Logged,,,,
2,12/06/2022 14:20:00,28.14,2301.44,,,,,
3,12/06/2022 14:30:00,28.14,2156.16,,,,,
4,12/06/2022 14:40:00,28.18,2650.88,,,,,
5,12/06/2022 14:50:00,28.18,2543.36,,,,,
6,12/06/2022 15:00:00,28.18,2679.04,,,,,
7,12/06/2022 15:10:00,28.14,2342.40,,,,,
8,12/06/2022 15:20:00,28.14,2401.92,,,,,
9,12/06/2022 15:30:00,28.14,2459.52,,,,,
10,12/06/2022 15:40:00,28.10,2574.08,,,,,
11,12/06/2022 15:50:00,28.10,2330.24,,,,,
12,12/06/2022 16:00:00,28.14,2165.12,,,,,
13,12/06/2022 16:10:00,28.14,2541.44,,,,,
14,12/06/2022 16:20:00,28.05,2468.48,,,,,
15,12/06/2022 16:30:00,28.10,2507.52,,,,,
16,12/06/2022 16:40:00,28.05,2360.96,,,,,
17,12/06/2022 16:50:00,28.05,2728.96,,,,,
18,12/06/2022 17:00:00,28.01,2497.28,,,,,
19,12/06/2022 17:10:00,27.97,2677.76,,,,,
20,12/06/2022 17:20:00,27.97,2213.76,,,,,
21,12/06/2022 17:30:00,27.97,1767.68,,,,,
22,12/06/2022 17:40:00,27.88,1505.92,,,,,
23,12/06/2022 17:47:42,,,,Logged,,,
24,12/06/2022 17:47:43,,,,,Logged,,
25,12/06/2022 17:47:59,,,,,,Logged,Logged
